gene,uniprot,family,chembl_id,smiles,assay_type,value_nm,pchembl,source,pKd
AKT1,P31749,AKT,CHEMBL260397,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,IC50,290.0,6.54,ChEMBL,6.54
AKT1,P31749,AKT,CHEMBL440560,O=c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]1,IC50,3029.0,5.52,ChEMBL,5.52
AKT1,P31749,AKT,CHEMBL577792,O=c1cnc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]1,IC50,1500.0,5.82,ChEMBL,5.82
AKT1,P31749,AKT,CHEMBL178397,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,IC50,760.0,6.12,ChEMBL,6.12
AKT1,P31749,AKT,CHEMBL572629,Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O,IC50,1003.0,6.0,ChEMBL,6.0
AKT1,P31749,AKT,CHEMBL180580,Oc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1Cc1ccccc1,IC50,17000.0,4.77,ChEMBL,4.77
AKT1,P31749,AKT,CHEMBL178133,O=c1[nH]c(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cc1ccc(O)cc1,IC50,21670.0,4.66,ChEMBL,4.66
AKT1,P31749,AKT,CHEMBL428861,CCC(C)c1nc(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)c(-c2ccccc2)nc1O,IC50,17000.0,4.77,ChEMBL,4.77
AKT1,P31749,AKT,CHEMBL178468,CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O,IC50,21200.0,4.67,ChEMBL,4.67
AKT1,P31749,AKT,CHEMBL272292,O=C(O)c1ccc2nc(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)c(-c3ccccc3)nc2c1,IC50,240.0,6.62,ChEMBL,6.62
AKT1,P31749,AKT,CHEMBL273160,O=C(O)c1ccc2nc(-c3ccccc3)c(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)nc2c1,IC50,166.0,6.78,ChEMBL,6.78
AKT1,P31749,AKT,CHEMBL271091,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccc(-c5nn[nH]n5)cc4nc3-c3ccccc3)cc2)CC1,IC50,63.0,7.2,ChEMBL,7.2
AKT1,P31749,AKT,CHEMBL408151,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc(-c5nn[nH]n5)ccc4nc3-c3ccccc3)cc2)CC1,IC50,20.0,7.7,ChEMBL,7.7
AKT1,P31749,AKT,CHEMBL181419,Cn1nnc(-c2ccc3nc(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)c(-c4ccccc4)nc3c2)n1,IC50,1089.0,5.96,ChEMBL,5.96
AKT1,P31749,AKT,CHEMBL180058,Cn1nnc(-c2ccc3nc(-c4ccccc4)c(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)nc3c2)n1,IC50,55.0,7.26,ChEMBL,7.26
AKT1,P31749,AKT,CHEMBL180231,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5cn[nH]c5cc4nc3-c3ccccc3)cc2)CC1,IC50,85.0,7.07,ChEMBL,7.07
AKT1,P31749,AKT,CHEMBL258844,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,IC50,58.0,7.24,ChEMBL,7.24
AKT1,P31749,AKT,CHEMBL192519,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1,IC50,2600.0,5.58,ChEMBL,5.58
AKT1,P31749,AKT,CHEMBL192519,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1,Ki,1100.0,5.96,ChEMBL,5.96
AKT1,P31749,AKT,CHEMBL190313,O=C(/C=C/c1nc2ccccc2[nH]1)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,IC50,4500.0,5.35,ChEMBL,5.35
AKT1,P31749,AKT,CHEMBL190313,O=C(/C=C/c1nc2ccccc2[nH]1)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,Ki,3900.0,5.41,ChEMBL,5.41
AKT1,P31749,AKT,CHEMBL175828,O=C(O)c1cc(-c2ccc(C=C3C(=O)c4ccccc4C3=O)o2)ccc1O,IC50,25100.0,4.6,ChEMBL,4.6
AKT1,P31749,AKT,CHEMBL175828,O=C(O)c1cc(-c2ccc(C=C3C(=O)c4ccccc4C3=O)o2)ccc1O,Ki,20800.0,4.68,ChEMBL,4.68
AKT1,P31749,AKT,CHEMBL104264,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12,IC50,2300.0,5.64,ChEMBL,5.64
AKT1,P31749,AKT,CHEMBL104264,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12,Ki,4500.0,5.35,ChEMBL,5.35
AKT1,P31749,AKT,CHEMBL365978,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccc(C(=O)O)cc2)o1,IC50,126000.0,3.899629454882437,ChEMBL,3.899629454882437
AKT1,P31749,AKT,CHEMBL193261,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2cccc(C(=O)O)c2)o1,IC50,60200.0,4.22,ChEMBL,4.22
AKT1,P31749,AKT,CHEMBL192161,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,IC50,9210.0,5.04,ChEMBL,5.04
AKT1,P31749,AKT,CHEMBL199996,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)Nc3ccccc3)c12,IC50,9000.0,5.05,ChEMBL,5.05
AKT1,P31749,AKT,CHEMBL382070,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3cccs3)c12,IC50,17000.0,4.77,ChEMBL,4.77
AKT1,P31749,AKT,CHEMBL200499,O=C(NCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1,IC50,15000.0,4.82,ChEMBL,4.82
AKT1,P31749,AKT,CHEMBL200796,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1,IC50,16000.0,4.8,ChEMBL,4.8
AKT1,P31749,AKT,CHEMBL419932,C[C@H](N)COc1cnc(Cl)c(/C=C/c2ccncc2)c1,IC50,5290.0,5.28,ChEMBL,5.28
AKT1,P31749,AKT,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.5,8.82,ChEMBL,8.82
AKT1,P31749,AKT,CHEMBL206708,N[C@H](COc1cncc(/C=C/c2ccnc(-n3ccc4ccccc43)c2)c1)Cc1c[nH]c2ccccc12,IC50,3340.0,5.48,ChEMBL,5.48
AKT1,P31749,AKT,CHEMBL381610,N[C@H](COc1cncc(/C=C/c2ccnc(NCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,IC50,147.0,6.83,ChEMBL,6.83
AKT1,P31749,AKT,CHEMBL203275,N[C@H](COc1cncc(/C=C/c2ccnc(NC3CC3)c2)c1)Cc1c[nH]c2ccccc12,IC50,69.0,7.16,ChEMBL,7.16
